Category,Item Name,Description,Price,Available
NON-VEGETARIAN ENTREES,CHICKEN VINDALOO ( NORTH INDIAN STYLE ),,15.99,TRUE
NON-VEGETARIAN ENTREES,GOAT VINDALOO,,19.99,TRUE
NON-VEGETARIAN ENTREES,GOAN CHICKEN CURRY,,17.99,TRUE
NON-VEGETARIAN ENTREES,CHILLI CHICKEN ( WET ),,15.99,TRUE
NON-VEGETARIAN ENTREES,SAAG CHICKEN,,15.99,TRUE
NON-VEGETARIAN ENTREES,LAMB SAAG,,19.99,TRUE
NON-VEGETARIAN ENTREES,Avakai Chicken Curry,,17.99,TRUE
NON-VEGETARIAN ENTREES,NILGIRI CHICKEN,,15.99,TRUE
NON-VEGETARIAN ENTREES,NATUKODI CURRY,,15.99,TRUE
NON-VEGETARIAN ENTREES,NATUKODI PULUSU,,15.99,TRUE
NON-VEGETARIAN ENTREES,CHICKEN MUGHALAI,,15.99,TRUE
NON-VEGETARIAN ENTREES,CHICKEN MANDAKINI,,15.99,TRUE
NON-VEGETARIAN ENTREES,TELANGANA KODI KORMA,,15.99,TRUE
NON-VEGETARIAN ENTREES,LAMB PASAND,,19.99,TRUE
NON-VEGETARIAN ENTREES,KHEEMA MUTTER MASALA,,18.99,TRUE
NON-VEGETARIAN ENTREES,CHICKEN SHAHI KOORMA,,16.99,TRUE
NON-VEGETARIAN ENTREES,KADAI CHICKEN,,15.99,TRUE
NON-VEGETARIAN ENTREES,ANDHRA CHICKEN CURRY,,17.99,TRUE
NON-VEGETARIAN ENTREES,MUTTON ROGAN JOSH,,19.99,TRUE
NON-VEGETARIAN ENTREES,MUTTON MUGHALAI,,19.99,TRUE
NON-VEGETARIAN ENTREES,AVAKAI GOAT CURRY,,19.99,TRUE
NON-VEGETARIAN ENTREES,DHABA STYLE EGG BURJI,,12.99,TRUE
NON-VEGETARIAN ENTREES,Egg Chettinadu,,13.99,TRUE
NON-VEGETARIAN ENTREES,Egg Tikka Masala,,13.99,TRUE
NON-VEGETARIAN ENTREES,Chettinadu Lamb Curry,,19.99,TRUE
NON-VEGETARIAN ENTREES,Lamb Tikka Masala,,19.99,TRUE
NON-VEGETARIAN ENTREES,Gongura Fish Curry,,16.99,TRUE
NON-VEGETARIAN ENTREES,EGG MASALA,,13.99,TRUE
NON-VEGETARIAN ENTREES,Amaravathi Chicken Curry (Extra Spricy),,17.99,TRUE
NON-VEGETARIAN ENTREES,MUTTON MASALA,,19.99,TRUE
NON-VEGETARIAN ENTREES,AMARAVATHI MUTTON CURRY (EXTRA SPICY),,19.99,TRUE
NON-VEGETARIAN ENTREES,DAL GOSHT,,17.99,TRUE
NON-VEGETARIAN ENTREES,Amaravati Royyala Kura (Extra Spicy),,17.99,TRUE
NON-VEGETARIAN ENTREES,Shrimp Masala,,17.99,TRUE
ROTI BASKET,PLAIN NAAN,,3.99,TRUE
ROTI BASKET,GUNTUR NAAN (GARLIC SPECIAL),,4.99,TRUE
ROTI BASKET,HYDERABADI ROTI,,4.99,TRUE
ROTI BASKET,CHAPATHI,,4.99,TRUE
ROTI BASKET,PATNA PULKA,,4.99,TRUE
ROTI BASKET,BULLET NAAN,,4.99,TRUE
ROTI BASKET,MALABAR PARATHA,,4.99,TRUE
ROTI BASKET,BUTTER NAAN,,4.49,TRUE
ROTI BASKET,KOTHU PARATHA ( VEG ),,12.99,TRUE
ROTI BASKET,KOTHU PARATHA ( EGG ),,13.99,TRUE
ROTI BASKET,KOTHU PARATHA ( CHICKEN ),,14.99,TRUE
BIRYANI/RICE SPECIALITIES,HYDERABADI CHICKEN DUM BIRYANI,,17.99,TRUE
BIRYANI/RICE SPECIALITIES,HYDERABADI MUTTON DUM BIRYANI,,19.99,TRUE
BIRYANI/RICE SPECIALITIES,OLD CITY VEG DUM BIRYANI,,13.99,TRUE
BIRYANI/RICE SPECIALITIES,KODI GUDDU SPECIAL BIRYANI(EGG SPECIAL),,14.99,TRUE
BIRYANI/RICE SPECIALITIES,GODAVARI KODI BIRYANI (SPECIAL CHICKEN),,17.99,TRUE
BIRYANI/RICE SPECIALITIES,KONASEEMA ROYYALA BIRYANI (SHRIMP SPECIAL),,17.99,TRUE
BIRYANI/RICE SPECIALITIES,PANEER GODAVARI BIRYANI,,15.99,TRUE
BIRYANI/RICE SPECIALITIES,KOSTA CURD RICE (YOGURT RICE),,10.99,TRUE
BIRYANI/RICE SPECIALITIES,"""AVAKAYA"" VEG BIRYANI",,14.99,TRUE
BIRYANI/RICE SPECIALITIES,"""GONGURA"" VEG BIRYANI",,14.99,TRUE
BIRYANI/RICE SPECIALITIES,Ulavacharu Mutton Biryani,,19.99,TRUE
BIRYANI/RICE SPECIALITIES,Ulavacharu Egg Biryani,,15.99,TRUE
BIRYANI/RICE SPECIALITIES,Natukodi Pulao,,17.99,TRUE
BIRYANI/RICE SPECIALITIES,Royyala Vepudu Pulao ( SHRIMP ),,17.99,TRUE
BIRYANI/RICE SPECIALITIES,Paneer Pulao,,15.99,TRUE
BIRYANI/RICE SPECIALITIES,EGG VEPUDU PULAO,,14.99,TRUE
BIRYANI/RICE SPECIALITIES,Natukodi Biryani,,17.99,TRUE
BIRYANI/RICE SPECIALITIES,KOFTA BIRYANI VEG,,15.99,TRUE
BIRYANI/RICE SPECIALITIES,KOFTA PULAV VEG,,15.99,TRUE
BIRYANI/RICE SPECIALITIES,APOLLO CHICKEN BIRYANI,,17.99,TRUE
BIRYANI/RICE SPECIALITIES,KHEEMA BIRYANI,,18.99,TRUE
BIRYANI/RICE SPECIALITIES,KHEEMA PULAV,,18.99,TRUE
BIRYANI/RICE SPECIALITIES,GUNTUR GONGURA MUTTON BIRYANI,,19.99,TRUE
BIRYANI/RICE SPECIALITIES,DUM RICE,,8.0,TRUE
BIRYANI/RICE SPECIALITIES,Pulao W/Veg Korma,,15.99,TRUE
BIRYANI/RICE SPECIALITIES,Guthi Vankai (Egg Plant) Pulao,,15.99,TRUE
BIRYANI/RICE SPECIALITIES,Guthi Vankai Biryani,,15.99,TRUE
BIRYANI/RICE SPECIALITIES,Raju gari Kodi Pulao,,17.99,TRUE
BIRYANI/RICE SPECIALITIES,Chicken Tikka Pulao,,17.99,TRUE
BIRYANI/RICE SPECIALITIES,PANEER KHEEMA BIRYANI,,15.99,TRUE
BIRYANI/RICE SPECIALITIES,KAJU PANEER BIRYANI,,15.99,TRUE
BIRYANI/RICE SPECIALITIES,FRY PIECE CHICKEN BIRYANI,,17.99,TRUE
BIRYANI/RICE SPECIALITIES,FRY PIECE CHICKE PULAO,,16.99,TRUE
BIRYANI/RICE SPECIALITIES,Ulavacharu veg biryani,,14.99,TRUE
FAMILY PACKS,Avakai Veg Biryani Family Pack,,39.99,TRUE
FAMILY PACKS,Gongura Veg Biryani Family Pack,,38.99,TRUE
FAMILY PACKS,Hyderabadi Chicken Dum Biryani Family Pack,,42.99,TRUE
FAMILY PACKS,Amalapuram Avakaya Kodi Biryani Family Pack,,42.99,TRUE
FAMILY PACKS,Gundamma Gongura Chicken Biryani Family Pack,,42.99,TRUE
FAMILY PACKS,Godavari Kodi Boneless Biryani Family Pack,,42.99,TRUE
FAMILY PACKS,Hyderabadi Mutton Dum Biryani Family Pack,,47.99,TRUE
FAMILY PACKS,Avakayi Mutton Biryani Family Pack,,47.99,TRUE
FAMILY PACKS,Guntur Gongura Mutton Biryani Family Pack,,47.99,TRUE
FAMILY PACKS,Godavari Kodi Pulao Family Pack (Special Chicken),,42.99,TRUE
FAMILY PACKS,EGG VEPUDU Pulao Family Pack,,39.99,TRUE
FAMILY PACKS,Goat Fry Pulao Family Pack,,47.99,TRUE
FAMILY PACKS,CHICKEN JOINT BIRYANI FAMILY PACK,,42.99,TRUE
FAMILY PACKS,CHICKEN JOINT PULAO FAMILY PACK,,42.99,TRUE
FAMILY PACKS,CHICKEN LOLLIPOP FAMILY PACK BIRYANI,,42.99,TRUE
FAMILY PACKS,APOLLO FISH BIRYANI FAMILY PACK,,42.99,TRUE
FAMILY PACKS,APOLLO CHICKEN BIRYANI FAMILY PACK,,42.99,TRUE
FAMILY PACKS,CHICKEN TIKKA BIRYANI FAMILY PACK,,42.99,TRUE
FAMILY PACKS,Guthi Vankai (Egg Plant) Pulao Family pack,,38.99,TRUE
FAMILY PACKS,Guthi Vankai Biryani Family Pack,,38.99,TRUE
FAMILY PACKS,FRY PIECE CHICKEN PULAO FAMILY PACK,,42.99,TRUE
FAMILY PACKS,Gongura Chicken Pulao Family Pack,,42.99,TRUE
FAMILY PACKS,Fish Fry Pulao Family Pack,,42.99,TRUE
FAMILY PACKS,FRY PIECE CHICKEN BIRYANI FAMILY PACK,,42.99,TRUE
FAMILY PACKS,Old City Veg Dum Biryani Family Pack,,36.99,TRUE
FAMILY PACKS,Kodi Guddu Special  Biryani Family Pack,,38.99,TRUE
FAMILY PACKS,Konaseema Royyala Biryani Family Pack,,42.99,TRUE
FAMILY PACKS,Paneer Godavari Biryani Family Pack,,38.99,TRUE
FAMILY PACKS,NATUKODI PULAO FAMILY PACK,,42.99,TRUE
FAMILY PACKS,NATUKODI BIRYANI FAMILY PACK,,42.99,TRUE
FAMILY PACKS,MUTTON ROAST BIRYANI FAMILY PACK,,47.99,TRUE
FAMILY PACKS,KHEEMA BIRYANI FAMILY PACK,,48.99,TRUE
FAMILY PACKS,KHEEMA PULAV FAMILY PACK,,48.99,TRUE
FAMILY PACKS,KOFTA BIRYANI VEG FAMILY PACK,,38.99,TRUE
FAMILY PACKS,KAJU PANEER BIRYANI FAMILY PACK,,38.99,TRUE
FAMILY PACKS,Ulavacharu Veg Biryani Family Pack,,37.99,TRUE
FAMILY PACKS,Ulavacharu Guddu Biryani Family Pack,,39.99,TRUE
FAMILY PACKS,Ulavacharu Chicken Dum Biryani Family Pack,,42.99,TRUE
FAMILY PACKS,Ulavacharu Mutton Dum Biryani Family Pack,,47.99,TRUE
FAMILY PACKS,Royyala Vepudu Pulao Family Pack (Shrimp),,42.99,TRUE
FAMILY PACKS,Raju Gari Pulao Family Pack,,42.99,TRUE
FAMILY PACKS,Paneer Pulao Family Pack,,38.99,TRUE
FAMILY PACKS,PANEER KHEEMA BIRYANI FAMILY PACK,,36.99,TRUE
GODAVARI-CHINESE SPECIALITIES,CHICKEN DRUMSTICKS,,15.99,TRUE
GODAVARI-CHINESE SPECIALITIES,BEZAWADA STREET NOODLES - VEG,,13.99,TRUE
GODAVARI-CHINESE SPECIALITIES,BEZAWADA STREET NOODLES - CHICKEN,,15.99,TRUE
GODAVARI-CHINESE SPECIALITIES,KAMAT  FRIED RICE - VEG,,13.99,TRUE
GODAVARI-CHINESE SPECIALITIES,KAMAT  FRIED RICE - CHICKEN,,15.99,TRUE
GODAVARI-CHINESE SPECIALITIES,CHITOOR CHINESE NOODLES - VEG (SZECHWAN STYLE),,13.99,TRUE
GODAVARI-CHINESE SPECIALITIES,CHITOOR CHINESE  NOODLES - CHICKEN (SZECHWAN STYLE),,15.99,TRUE
GODAVARI-CHINESE SPECIALITIES,MAHARAJA VEG FRIED RICE (SZECHWAN STYLE),,13.99,TRUE
GODAVARI-CHINESE SPECIALITIES,MAHARAJA CHICKEN FRIED RICE (SZECHWAN STYLE),,15.99,TRUE
GODAVARI-CHINESE SPECIALITIES,BEZAWADA STREET NOODLES - SHRIMP,,17.99,TRUE
GODAVARI-CHINESE SPECIALITIES,KAMAT FRIED RICE - SHRIMP,,16.99,TRUE
GODAVARI-CHINESE SPECIALITIES,CHITTOOR CHINESE NOODLES - SHRIMP ( SCHEZWAN STYLE ),,17.99,TRUE
GODAVARI-CHINESE SPECIALITIES,MAHARAJA SHRIMP FRIED RICE ( SCHEZWAN STYLE ),,16.99,TRUE
GODAVARI-CHINESE SPECIALITIES,"""SUNNY LEONE"" MIXED NOODLES ( VEG , EGG, CHICKEN & SHRIMP )",,17.99,TRUE
GODAVARI-CHINESE SPECIALITIES,KAMAT FRIED RICE EGG,,14.99,TRUE
GODAVARI-CHINESE SPECIALITIES,MAHARAJA FRIED RICE EGG (SCHEWAN STYLE),,14.99,TRUE
GODAVARI-CHINESE SPECIALITIES,BEZAWADA STREET NOODLES - EGG,,14.99,TRUE
GODAVARI-CHINESE SPECIALITIES,CHITTOR CHINESE NOODLES - EGG (SCHEWAN STYLE),,14.99,TRUE
GODAVARI-CHINESE SPECIALITIES,"Street Style Mixed Fried Rice (Veg, Egg, Chicken & Shrimp)",,16.99,TRUE
DRINKS,LEMON SODA SWEET,,3.99,TRUE
DRINKS,LEMON SODA SALT,,3.99,TRUE
DRINKS,CHAI W/OSMANIA BISCUIT,,4.99,TRUE
DESSERTS,BENGALI GULAB JAMUN (3 PCS),,4.99,TRUE
SOUTH INDIAN DOSA VARIETIES,KADAPA KARAM DOSA,,12.99,TRUE
SOUTH INDIAN DOSA VARIETIES,GHEE KARAM DOSA,,13.99,TRUE
SOUTH INDIAN DOSA VARIETIES,EGG KARAM DOSA,,13.99,TRUE
FAMILY PACKS,RED MIRCHI CHICKEN BIRYANI FAMILY PACK,,42.99,TRUE
FAMILY PACKS,RED MIRCHI GOAT BIRYANI FAMILY PACK,,47.99,TRUE
FAMILY PACKS,RED MIRCHI VEG BIRYANI FAMILY PACK,,38.99,TRUE
BIRYANI/RICE SPECIALITIES,RED MIRCHI VEGBIRYANI,,14.99,TRUE
BIRYANI/RICE SPECIALITIES,RED MIRCHI GOAT BIRYANI,,19.99,TRUE
BIRYANI/RICE SPECIALITIES,RED MIRCHI CHICKEN BIRYANI,,15.99,TRUE
ROTI BASKET,RUMALI ROTI (2 PCS),,4.99,TRUE
VEG-APPETIZERS,POORI W/CHICKEN CURRY,,15.99,TRUE
VEG-APPETIZERS,POORI W/GOAT KHEEMA CURRY,,19.99,TRUE
VEG-APPETIZERS,BATURA W/CHICKEN CURRY,,17.99,TRUE
VEG-APPETIZERS,BATURA W/GOAT KHEEMA CURRY,,19.99,TRUE
VEG-APPETIZERS,DOSA W/CHICKEN CURRY,,16.99,TRUE
VEG-APPETIZERS,DOSA W/MUTTON CURRY,,19.99,TRUE
GODAVARI SPECIALITIES,PANEER SHAHI MANDI,,16.99,TRUE
GODAVARI SPECIALITIES,CHICKEN SHAHI MANDI,,16.99,TRUE
GODAVARI SPECIALITIES,MUTTON SHAHI MANDI,,19.99,TRUE
GODAVARI SPECIALITIES,MUTTON KHEEMA BALL CURRY,,21.99,TRUE
GODAVARI SPECIALITIES,CHICKEN KHEEMA BALLS CURRY,,17.99,TRUE
GODAVARI SPECIALITIES,GOAT PAYA SOUP W/PAROTA,,19.99,TRUE
GODAVARI SPECIALITIES,GOAT PAYA SOUP,,19.99,TRUE
GODAVARI SPECIALITIES,GOAT PAYA CURRY,,19.99,TRUE
GODAVARI SPECIALITIES,GOAT PAYA MANDI,,19.99,TRUE
DESSERTS,KHURBANI KA MEETHA,,4.99,TRUE
GODAVARI SPECIALITIES,MUTTON GHEE ROAST MANDI,,19.99,TRUE
GODAVARI SPECIALITIES,SHRIMP MANDI,,17.99,TRUE
GODAVARI SPECIALITIES,FISH MANDI,,15.99,TRUE
SOUTH INDIAN DOSA VARIETIES,BENNE DOSA,,13.99,TRUE
Uncategorized,Delivery Order,,0.0,FALSE
BEER,RUPEE,,5.99,TRUE
SNACKS,SNACKS EGG BAJJI,,5.99,TRUE
SNACKS,SNACKS MYSORE BAJJI,,5.99,TRUE
SNACKS,SNACKS ONION SAMOSA,,4.99,TRUE
SNACKS,SNACKS MIRCHI BAJJI,,6.99,TRUE
SNACKS,SNACKS CABBAGE 65,,6.99,TRUE
SNACKS,SNACKS SAMOSA,,3.99,TRUE
SNACKS,SNACKS CHITTI PUNUGULU,,5.99,TRUE
SNACKS,SNACKS STUFFED MIRCHI,,6.99,TRUE
Uncategorized,DOSA BUFFET,,16.99,TRUE
GODAVARI SPECIALITIES,MEEN POLLICHATHU,,15.99,TRUE
GODAVARI SPECIALITIES,THATTE IDLY,,9.99,TRUE
GODAVARI SPECIALITIES,MIXED BIRYANI,,16.99,TRUE
GODAVARI SPECIALITIES,MIXED PULAO,,16.99,TRUE
GODAVARI SPECIALITIES,FRIDAY BUFFET,,19.99,TRUE
Uncategorized,HOLIDAY BUFFET,,21.99,TRUE
GODAVARI SPECIALITIES,WEEKEND GRAND BUFFET,,21.99,TRUE
GODAVARI SPECIALITIES,WEEKEND KIDS BUFFET,,13.99,TRUE
GODAVARI SPECIALITIES,BIRYANI PLATTER,,0.0,TRUE
GODAVARI SPECIALITIES,MINI BIRYANI,,0.0,TRUE
NON - VEG APPETIZERS,HALEEM,,19.99,FALSE
NON - VEG APPETIZERS,SPECIAL HALEEM,,19.99,FALSE
GODAVARI SPECIALITIES,PAROTA SALNA,,11.99,TRUE
GODAVARI SPECIALITIES,PANDUMIRCHI PULAO,,0.0,TRUE
GODAVARI SPECIALITIES,FIRE BIRYANI,,0.0,TRUE
VEG-APPETIZERS,GONGURA PANEER,,14.99,TRUE
VEG-APPETIZERS,GONGURA MUSHROOM,,14.99,TRUE
NON - VEG APPETIZERS,GONGURA CHICKEN STARTER,,15.99,TRUE
NON-VEGETARIAN ENTREES,THAGUBOTHU CHICKEN,,15.99,TRUE
NON - VEG APPETIZERS,"""ANDHRA"" CHILLI PRAWNS ( CHILLI SHRIMP )",,19.99,TRUE
BIRYANI/RICE SPECIALITIES,"""AVAKAYA"" MUTTON BIRYANI",,19.99,TRUE
BEER,HAYWARDS 5000,,8.99,TRUE
SOUTH INDIAN DOSA VARIETIES,BEZAWADA PESARATTU,,13.99,TRUE
DRINKS,GOLI SODA,,2.99,TRUE
DANCE EVENT,SNACK COMBO,,7.0,TRUE
GODAVARI SPECIALITIES,PASTRY,,3.99,TRUE
Uncategorized,BADUSHAH,,1.49,TRUE
Uncategorized,PASTRY1,,3.99,TRUE
Uncategorized,CUP CAKE,,2.49,TRUE
Uncategorized,Cup Cake2,,1.49,TRUE
Uncategorized,SWEET,,1.49,TRUE
Uncategorized,Delivery Fee,,,FALSE
Uncategorized,BREAKFAST ADULT BUFFET,,14.99,TRUE
Uncategorized,BREAKFAST KIDS BUFFET,,8.99,TRUE
Uncategorized,BREAKFAST BUFFET TEA,,1.99,TRUE
Uncategorized,BREAKFAST Buffet DOSAI,,0.0,TRUE
Uncategorized,Grand holiday Buffet ,Buffet,21.99,TRUE
Uncategorized,Grand holiday kids buffet,Holiday kids buffet,13.99,TRUE
Combos,Pongal Veg Combo,Pulihora Pongal Vada Rice Chutney,19.99,TRUE
Combos,Combo Veg for 2,,27.99,TRUE
SNACKS,Evening Snack,,5.99,TRUE
Uncategorized,Sankranthi Veg Thali,,17.99,TRUE
Uncategorized,Sankranthi Chicken Thali,,18.99,TRUE
Uncategorized,Sankranthi Mutton Thali,,21.99,TRUE
Uncategorized,Chikoo Special Drink,,5.99,TRUE
Uncategorized,Sitaphal Special Drink,,5.99,TRUE
Uncategorized,Mason Music Veg Combo,,11.99,TRUE
Uncategorized,Mason Music Non-Veg Combo,,12.99,TRUE
Uncategorized,Water,,1.25,TRUE
Uncategorized,Unlimited Pani Puri,,9.99,TRUE
Uncategorized,Live Chaat Outdoor,,4.99,TRUE
Uncategorized,Konasema Fish Vepudu Family Pack,,60.0,TRUE
