Category,Item Name,Description,Price,Available
ROTI BASKET,Batura (1 Pc),,2.49,TRUE
Uncategorized,Falooda,,5.0,TRUE
Uncategorized,Chikoo Shake,,5.99,TRUE
Combos,Amalapuram Avakaya Kodi Biryani Jumbo Pack,,112.99,TRUE
Combos,Avakai Veg Biryani Jumbo Pack,,94.99,TRUE
Combos,Avakai Mutton Biryani Jumbo Pack,,149.99,TRUE
Combos,Godavari Kodi Boneless Biryani Jumbo pack,,114.99,TRUE
Combos,Gongura Veg Biryani Jumbo Pack,,94.99,TRUE
Combos,Gundamma Gongura Chicken Biryani Jumbo Pack,,112.99,TRUE
Combos,Guntur Gongura Mutton Biryani Jumbo Pack,,149.99,TRUE
Combos,Hyderabadi Chicken Dum Biryani Jumbo pack,,99.99,TRUE
Combos,Hyderabadi Mutton Dum Biryani Jumbo Pack,,149.99,TRUE
Combos,Old City Veg Dum Biryani Jumbo Pack,,89.99,TRUE
Combos,Paneer Godavari Biryani Jumbo Pack,,99.99,TRUE
Combos,Ulavacharu Chicken Dum Biryani Jumbo pack,,109.99,TRUE
Combos,Ulavacharu Mutton Dum Biryani Jumbo pack,,149.99,TRUE
Combos,Ulavacharu Veg Biryani Jumbo Pack,,94.99,TRUE
BIRYANI/RICE SPECIALITIES,Goat Fry Pulao,,19.99,TRUE
Uncategorized,GODAVARI KODI PULAO (SPECIAL CHICKEN),,17.99,TRUE
VEG-APPETIZERS,HAMZAN CLASSIC,,7.99,TRUE
VEG-APPETIZERS,HAMZAN GARLIC,,7.99,TRUE
NON - VEG APPETIZERS,LAMB CHOPS,,19.99,TRUE
Uncategorized,TANDOORI TIGER SHRIMP,,14.99,TRUE
Uncategorized,SHRIMP CHETTINADU,,16.99,TRUE
VEG- ENTREES,KAJU MASALA,,12.99,TRUE
VEG- ENTREES,KAJU PANEER,,14.99,TRUE
Uncategorized,PANEER ROGAN JOSH,,13.49,TRUE
Uncategorized,AMMA THALI - VEG,,11.99,TRUE
Uncategorized,AMMA THALI - NON VEG,,12.99,TRUE
BIRYANI/RICE SPECIALITIES,CHICKEN JOINT PULAO,,17.99,TRUE
Uncategorized,KODI POPS (PAKODA),,10.99,TRUE
BIRYANI/RICE SPECIALITIES,CHICKEN JOINT BIRYANI,,17.99,TRUE
BIRYANI/RICE SPECIALITIES,POTLAM CHICKEN PULAV,,17.99,TRUE
BIRYANI/RICE SPECIALITIES,POTLAM CHICKEN BIRYANI,,17.99,TRUE
BIRYANI/RICE SPECIALITIES,MUTTON ROAST BIRYANI,,19.99,TRUE
TANDOOR,TANDOORI WHOLE CHICKEN (NATUKODI),,15.99,TRUE
BIRYANI/RICE SPECIALITIES,APOLLO FISH BIRYANI,,16.99,TRUE
BIRYANI/RICE SPECIALITIES,CHICKEN TIKKA BIRYANI,,17.99,TRUE
Uncategorized,CHICKEN SAMOSA,,7.99,TRUE
VEG-APPETIZERS,PANEER 65,,15.99,TRUE
VEG-APPETIZERS,CHILLI PANEER,,14.99,TRUE
VEG-APPETIZERS,PANEER 777,,14.99,TRUE
Uncategorized,DAL MAKHANI,,11.49,TRUE
FAMILY PACKS,AVAKAI ROYYALA BIRYANI (SHRIMP) FAMILY PACK,,42.99,TRUE
Uncategorized,GONGURA ROYYALA BIRYANI (SHRIMP) FAMILY PACK,,42.99,TRUE
EXTRA ITEMS,COCONUT CHUTNEY,,0.49,TRUE
EXTRA ITEMS,TOMATO CHUTNEY,,0.49,TRUE
EXTRA ITEMS,GINGER CHUTNEY,,0.49,TRUE
EXTRA ITEMS,SALAN 3.5 OZ,,0.49,TRUE
EXTRA ITEMS,RAITHA 3.5 Oz,,0.49,TRUE
EXTRA ITEMS,SALAN 8 OZ,,1.49,TRUE
EXTRA ITEMS,*****ADDON****,,0.0,TRUE
VEG-APPETIZERS,CHOLE POORI,,11.99,TRUE
Uncategorized,JEERU,,2.99,TRUE
BEER,BECK'S,,4.99,TRUE
BEER,CARONA LIGHT,,4.99,TRUE
BEER,BUD LIGHT,,4.99,TRUE
BEER,BUD PLATINUM,,4.99,TRUE
BEER,Michelob ULTRA,,4.99,TRUE
BEER,Yuengling,,4.99,TRUE
NON-VEGETARIAN ENTREES,Chettinadu Chepala Koora,,13.99,TRUE
Uncategorized,MOSCATO GLASS,,8.0,TRUE
Uncategorized,Cabernet Sauvignon GLASS,,8.0,TRUE
BIRYANI/RICE SPECIALITIES,Gongura Chicken Pulao,,17.99,TRUE
Uncategorized,Gongura Goat Pulao,,19.99,TRUE
FAMILY PACKS,Gongura Goat Pulao Family Pack,,47.99,TRUE
Uncategorized,Kheema Pulao Family Pack,,48.99,TRUE
BIRYANI/RICE SPECIALITIES,Fish Fry Pulao,,16.99,TRUE
DRINKS,COKE PRODUTS,,2.49,TRUE
BEER,CARLSBERG ELEPHANT,,4.99,TRUE
BEER,CARONA EXTRA,,4.99,TRUE
BEER,HEINEKEN,,4.99,TRUE
BEER,GUINNESS DRAUGHT,,4.99,TRUE
BEER,MODELO ESPECIAL,,4.99,TRUE
BEER,BUDWEISER,,4.99,TRUE
BEER,COORSLIGHT,,4.99,TRUE
BEER,MILLER LITE,,4.99,TRUE
BEER,PABST BLUE RIBBON,,4.99,TRUE
BEER,FOUNDERS ALL DAY IPA,,4.99,TRUE
BEER,SIERRA NEVADA PALE ALE,,4.99,TRUE
WINE,ROSE,,8.0,TRUE
WINE,PINOT GRIGIO,,9.0,TRUE
WINE,CHARDONNAY,,9.0,TRUE
WINE,SAUVIGNON BLANC,,9.0,TRUE
WINE,PINOT NOIR,,8.0,TRUE
WINE,MERLOT,,8.0,TRUE
WINE,CABERNET,,8.0,TRUE
WINE,ROSE SPARKLING,,12.0,TRUE
WINE,BRUT,,33.0,TRUE
WINE,CHAMPAGNE,,90.0,TRUE
SPIRITS,MAKER'S MARK 30 ML,,4.0,TRUE
SPIRITS,JACK DANIEL'S 30 ML,,4.0,TRUE
SPIRITS,JIM BEAN 30 ML,,4.0,TRUE
SPIRITS,1800 TEQUILA SILVER 30 ML,,5.0,TRUE
SPIRITS,1800 TEQUILA GOLD 30 ML,,5.0,TRUE
SPIRITS,CAPTAIN MORGAN BLACK 30 ML,,4.0,TRUE
SPIRITS,GREY GOOSE 30 ML,,4.0,TRUE
SPIRITS,HENNESSY 30 ML,,6.0,TRUE
SPIRITS,JHONNIE WALKER BLACK LABEL 30 ML,,6.0,TRUE
SPIRITS,JHONNIE WALKER RED LABEL 30 ML,,4.0,TRUE
SPIRITS,CHIVAS 12YRS 30 ML,,6.0,TRUE
SPIRITS,GLENMORANGE 12 YR 30 ML,,6.0,TRUE
SPIRITS,GLENMORANGE 14 YR 30 ML,,7.0,TRUE
SPIRITS,GLENLIVET 12 30 ML,,7.0,TRUE
SPIRITS,GLENLIVET 14 30 ML,,8.0,TRUE
SPIRITS,GLENFIDDICH 12 30 ML,,7.0,TRUE
SPIRITS,GLENFIDDICH 15 30 ML,,8.0,TRUE
WINE,CUPCAKE ROSE SPARKLING,,11.99,TRUE
WINE,AVISSI PROSECCO,,7.99,TRUE
Uncategorized,Gift card,,,TRUE
EXTRA ITEMS,BAHUBALI THALI,,120.0,TRUE
ICE CREAMS,MEETHA PAAN ICE CREAM,,2.99,TRUE
ICE CREAMS,MATKA,,4.49,TRUE
Uncategorized,Delivery Fee,,,FALSE
EXTRA ITEMS,GODAVARI MANDI NON VEG,,99.0,TRUE
ICE CREAMS,MANGO KULFI,,2.99,TRUE
ICE CREAMS,CHOCOLATE CONE,,3.99,TRUE
ICE CREAMS,CHOWPATI,,3.99,TRUE
ICE CREAMS,FUNTASTIC,,3.99,TRUE
SPIRITS,TEACHERS 30 ML,,4.0,TRUE
SPIRITS,OLD MONK 30 ML,,3.0,TRUE
SPIRITS,MCCALLAN 12 30 ML,,8.0,TRUE
VEG-APPETIZERS,GUNTUR IDLY (MASALA IDLY),,10.99,TRUE
Uncategorized,DOSAI,,0.0,TRUE
Uncategorized,DOSA KIDS BUFFET,,11.99,TRUE
Uncategorized,COKE GLASS,,3.49,TRUE
Uncategorized,SPRITE GLASS,,3.49,TRUE
Uncategorized,FANTA GLASS,,3.49,TRUE
SPIRITS,BLACK DOG 30 ML,,4.0,TRUE
Uncategorized,TEACHERS 30 MLS,,3.99,TRUE
SPIRITS,JOHNNIE WALKER DOUBLE BLACK 30 ML,,7.0,TRUE
ICE CREAMS,THANDAI,,3.49,TRUE
ICE CREAMS,KESAR PISTA CONE,,3.99,TRUE
DRINKS,CLUB SODA,,0.99,TRUE
WINE,KIM CRAWFORD PINOT NOIR,,38.0,TRUE
Uncategorized,PANEER 65S,,14.99,TRUE
Uncategorized,PANEER MANCHURIANS,,14.99,TRUE
BEER,RHINEGEIST,,3.99,TRUE
Uncategorized,Delivery Fee,,,FALSE
